id_hospital,nome_hospital,estado,cidade,tipo_unidade,qtd_leitos,ocupacao_perc,pacientes_em_espera,qtd_medicos,qtd_enfermeiros,qtd_atendimentos_mes,tempo_medio_espera_min,gastos_mensais_R$,repasses_sus_R$,taxa_mortalidade_%,tipo_gestao,indice_satisfacao,data
267cbac2,Hospital Bem Estar 135,AC,Macapá,Hospital Geral,49,30.0,59,59,77,793,84.74,669362.06,36400.19,6.03,Federal,3.7,20/08/2024
53696045,Hospital Bem Estar 377,AC,Recife,UPA,262,87.6,78,65,32,6181,116.08,115061.39,784818.49,7.39,Federal,1.1,18/04/2024
b844a53b,Hospital Vida 297,AC,Salvador,Posto de Saúde,129,34.1,52,94,98,770,179.53,410382.53,659846.68,4.96,Federal,3.6,20/12/2024
6eeb3a32,Hospital Bem Estar 700,AC,Belém,Unidade Mista,78,38.3,135,42,74,1457,33.17,53351.46,145408.25,0.4,Federal,4.1,05/12/2024
abab99f9,Hospital Bem Estar 257,AC,Natal,Hospital Especializado,278,61.4,106,24,106,3283,147.75,66910.4,717699.75,9.84,Federal,1.9,24/01/2025
cd6e508b,Hospital Esperança 308,AC,Goiânia,Hospital Geral,294,37.9,129,68,116,1581,11.23,896615.8,483452.99,5.08,Estadual,1.7,06/08/2024
c4fdacd3,Hospital Bem Estar 945,AC,Natal,UPA,454,49.4,78,23,12,5226,114.97,941427.26,704708.2,8.25,Estadual,2.3,02/06/2024
f5b069bd,Hospital Vida 805,AC,Palmas,Posto de Saúde,11,96.2,135,19,129,4795,31.3,98469.58,447360.69,12.03,Estadual,2.7,07/06/2024
cb145c0f,Hospital Bem Estar 287,AC,Salvador,Unidade Mista,62,33.0,115,73,27,1703,53.04,223976.64,201151.93,11.55,Estadual,1.6,15/01/2025
18e5780f,Hospital Saúde 817,AC,Salvador,Hospital Especializado,25,95.2,86,30,54,3256,11.54,374941.18,82528.83,13.46,Estadual,1.5,07/06/2024
fd2bb665,Hospital Bem Estar 90,AC,Maceió,Hospital Geral,46,31.1,39,47,11,6904,91.02,917819.09,315229.82,3.57,Municipal,3.4,05/01/2025
0630935f,Hospital Esperança 18,AC,Fortaleza,UPA,311,95.7,65,28,102,190,25.88,263603.41,342895.14,7.69,Municipal,1.9,31/08/2024
2219730b,Hospital Saúde 433,AC,Aracaju,Posto de Saúde,491,23.9,49,84,103,2571,31.37,351380.18,330844.74,6.99,Municipal,1.6,17/12/2024
1ee93b1c,Hospital Saúde 119,AC,Curitiba,Unidade Mista,346,47.8,106,55,27,7487,44.75,749701.67,672501.57,5.91,Municipal,3.9,12/09/2024
b574fbbc,Hospital Saúde 125,AC,Manaus,Hospital Especializado,347,80.3,103,88,112,8781,27.61,470447.13,368874.0,1.81,Municipal,3.5,13/12/2024
aae4e150,Hospital Vida 626,AC,Salvador,Hospital Geral,344,75.5,12,82,135,3289,53.55,210810.17,62670.02,9.93,Federal,3.5,20/10/2024
70c2c4b2,Hospital Vida 806,AC,Belo Horizonte,UPA,102,93.7,102,20,73,2372,94.56,680353.91,197805.02,11.71,Federal,3.7,07/06/2024
1f947ff4,Hospital Saúde 601,AC,Belo Horizonte,Posto de Saúde,422,38.7,143,94,147,4142,93.62,230964.98,424293.69,4.68,Federal,2.3,27/09/2024
0a4ff802,Hospital Saúde 35,AC,São Paulo,Unidade Mista,468,76.3,46,69,120,340,41.08,339093.07,351823.97,4.97,Federal,3.4,01/09/2024
27abc93a,Hospital Vida 32,AC,João Pessoa,Hospital Especializado,454,36.6,0,55,63,7156,162.31,305379.33,647410.44,8.0,Federal,1.2,25/06/2024
b3407c89,Hospital Saúde 543,AC,Vitória,Hospital Geral,12,56.9,64,35,14,745,102.78,238214.52,749083.02,7.57,Estadual,1.4,27/12/2024
54af4ca0,Hospital Vida 888,AC,Florianópolis,UPA,238,72.5,149,96,63,6714,57.82,102145.8,350796.68,6.25,Estadual,2.6,21/05/2024
ccc496b5,Hospital Vida 624,AC,João Pessoa,Posto de Saúde,201,52.3,25,62,85,9740,171.23,628945.6,767791.1,1.04,Estadual,1.2,23/04/2024
6f22ff72,Hospital Vida 90,AC,Recife,Unidade Mista,64,36.6,50,86,136,6973,92.05,312993.7,837218.07,3.1,Estadual,3.7,24/08/2024
fa4aa5cb,Hospital Saúde 292,AC,Belo Horizonte,Hospital Especializado,475,98.7,45,43,148,9348,100.63,457226.41,781048.89,6.28,Estadual,3.0,12/04/2025
18922a89,Hospital Saúde 242,AC,São Luís,Hospital Geral,98,55.3,110,49,10,1522,114.53,759952.23,827920.07,2.62,Municipal,1.6,14/05/2024
0783a5cc,Hospital Bem Estar 229,AC,Brasília,UPA,194,24.3,65,39,112,2055,108.59,481339.58,353409.49,5.1,Municipal,2.1,12/07/2024
6436e38e,Hospital Saúde 222,AC,Macapá,Posto de Saúde,11,35.2,1,26,123,1661,53.46,73112.9,26258.29,5.79,Municipal,1.1,31/08/2024
68358d2f,Hospital Bem Estar 346,AC,São Luís,Unidade Mista,331,72.1,57,66,70,6842,124.04,591075.11,477320.44,11.22,Municipal,4.8,30/11/2024
fc8aa749,Hospital Bem Estar 88,AC,Palmas,Hospital Especializado,231,23.6,114,14,129,2281,136.41,74690.24,702159.16,2.25,Municipal,1.6,10/03/2025
9561bcd6,Hospital Esperança 580,AC,Aracaju,Hospital Geral,21,74.1,145,9,106,2973,10.57,693868.59,122361.17,9.89,Federal,1.8,09/07/2024
62071753,Hospital Saúde 751,AC,Goiânia,UPA,43,32.0,129,76,43,9988,94.19,908564.73,110606.04,12.47,Federal,2.3,16/07/2024
c25d43eb,Hospital Saúde 42,AC,Manaus,Posto de Saúde,314,86.2,17,53,11,896,86.86,163924.89,183665.93,11.25,Federal,4.5,17/02/2025
ad46d7b2,Hospital Saúde 617,AC,Salvador,Unidade Mista,330,37.6,84,91,128,3763,159.06,742366.03,798651.82,2.6,Federal,2.2,23/11/2024
c0e32f50,Hospital Vida 821,AC,Maceió,Hospital Especializado,22,52.6,11,39,29,1703,139.27,124305.39,594502.89,7.77,Federal,4.7,13/06/2024
f79e3e2b,Hospital Esperança 296,AC,Macapá,Hospital Geral,165,91.3,52,13,71,3614,172.88,888966.17,495629.44,5.7,Estadual,4.1,04/12/2024
7802481e,Hospital Vida 991,AC,Fortaleza,UPA,373,99.7,57,51,74,8501,168.73,552941.02,284588.4,14.49,Estadual,2.9,16/08/2024
3d6870b4,Hospital Saúde 781,AC,São Paulo,Posto de Saúde,140,86.8,49,77,124,7390,17.95,346975.13,815493.59,10.08,Estadual,3.4,24/12/2024
6146aa74,Hospital Vida 181,AC,Rio Branco,Unidade Mista,172,75.0,117,98,148,1366,30.63,966943.43,525528.13,11.48,Estadual,3.6,18/10/2024
ee389d12,Hospital Esperança 131,AC,Florianópolis,Hospital Especializado,343,23.0,36,87,135,8640,45.42,384295.46,434525.49,4.7,Estadual,4.4,16/04/2024
f532cf98,Hospital Saúde 297,AC,Porto Velho,Hospital Geral,317,57.7,126,27,55,874,132.39,426341.53,354144.89,2.52,Municipal,2.2,04/04/2025
231fbbc4,Hospital Esperança 652,AC,Macapá,UPA,244,99.5,29,41,17,6771,94.29,492907.96,859141.63,7.63,Municipal,1.7,17/08/2024
175b45aa,Hospital Esperança 831,AC,Rio Branco,Posto de Saúde,228,27.0,19,23,145,8009,91.29,822548.2,761662.41,0.64,Municipal,3.7,12/04/2025
b2a26d0f,Hospital Bem Estar 837,AC,Goiânia,Unidade Mista,10,89.6,122,62,56,7198,66.43,268273.02,70443.28,3.36,Municipal,4.2,12/10/2024
723e6afb,Hospital Bem Estar 663,AC,São Paulo,Hospital Especializado,405,97.7,3,19,69,3998,74.95,925698.76,80594.64,5.03,Municipal,2.2,23/07/2024
5511b2c1,Hospital Bem Estar 874,AC,Campo Grande,Hospital Geral,70,88.7,107,41,82,2392,41.16,82882.06,796012.41,13.07,Federal,4.6,15/07/2024
af2c7548,Hospital Esperança 277,AC,Porto Velho,UPA,158,94.1,78,91,25,4828,140.07,989391.65,815542.6,6.32,Federal,3.5,12/06/2024
59e01726,Hospital Bem Estar 234,AC,Teresina,Posto de Saúde,90,78.8,42,17,108,2230,86.39,598062.26,162902.34,9.57,Federal,2.5,05/09/2024
9cf82480,Hospital Bem Estar 71,AC,São Paulo,Unidade Mista,490,30.7,150,37,47,7970,48.64,337422.61,684418.18,7.85,Federal,1.1,17/12/2024
09360500,Hospital Vida 412,AC,São Luís,Hospital Especializado,492,39.5,87,100,88,7417,105.61,837082.56,389980.92,11.68,Federal,4.6,06/05/2024
90fdc144,Hospital Vida 207,AC,Belo Horizonte,Hospital Geral,177,58.7,57,51,14,3310,40.05,850474.24,883207.54,4.13,Estadual,2.8,26/05/2024
1cbe269d,Hospital Esperança 611,AC,Maceió,UPA,421,39.4,1,31,18,3290,144.78,906822.98,137241.85,5.38,Estadual,3.6,26/08/2024
0c2e6b85,Hospital Esperança 490,AC,Manaus,Posto de Saúde,177,77.6,10,67,136,3904,158.0,692148.76,623720.34,12.62,Estadual,4.8,15/11/2024
e5b37100,Hospital Bem Estar 348,AC,Boa Vista,Unidade Mista,358,74.8,119,23,5,6595,97.51,611401.93,58244.64,10.07,Estadual,3.7,29/11/2024
f0336c34,Hospital Esperança 117,AC,Campo Grande,Hospital Especializado,10,82.9,45,15,139,8679,169.92,88394.31,66387.61,9.22,Estadual,3.8,22/12/2024
5bb9c1c8,Hospital Bem Estar 660,AC,Goiânia,Hospital Geral,296,54.8,131,88,59,8759,152.1,96207.34,190292.61,0.78,Municipal,1.4,22/08/2024
d508a8f1,Hospital Bem Estar 587,AC,Palmas,UPA,242,60.4,12,37,10,1395,93.6,966739.42,271627.68,6.6,Municipal,1.0,19/05/2024
a80a80c3,Hospital Saúde 352,AC,Natal,Posto de Saúde,312,90.5,39,70,63,1410,126.26,429945.59,492363.89,5.55,Municipal,1.2,30/07/2024
7923cb75,Hospital Vida 755,AC,Vitória,Unidade Mista,214,90.2,97,44,69,6434,134.06,721310.63,597647.5,0.11,Municipal,3.9,02/12/2024
e8d40216,Hospital Esperança 726,AC,Boa Vista,Hospital Especializado,191,72.4,129,10,124,2905,23.02,543423.94,628504.85,12.42,Municipal,3.5,06/03/2025
2e817c7b,Hospital Vida 824,AC,João Pessoa,Hospital Geral,60,40.0,13,8,15,3823,163.48,279991.05,376153.79,14.96,Federal,2.9,05/02/2025
f8cb57b3,Hospital Bem Estar 568,AC,São Paulo,UPA,215,93.7,72,72,16,7253,116.84,607554.18,583982.05,4.92,Federal,2.6,17/06/2024
980dfa7a,Hospital Vida 82,AC,Rio de Janeiro,Posto de Saúde,296,99.5,95,82,33,5224,30.55,881213.11,256091.62,6.34,Federal,4.8,04/07/2024
d0df8923,Hospital Vida 896,AC,Porto Alegre,Unidade Mista,260,56.9,27,62,146,596,40.73,63635.01,25627.15,1.75,Federal,2.7,06/06/2024
0192c15d,Hospital Saúde 527,AC,João Pessoa,Hospital Especializado,378,35.2,61,31,67,4824,168.02,482533.8,724611.99,8.94,Federal,3.8,24/05/2024
afa94490,Hospital Bem Estar 448,AC,Belo Horizonte,Hospital Geral,426,75.7,132,44,92,9464,87.13,610174.96,743098.06,3.02,Estadual,1.3,14/08/2024
9becd4a9,Hospital Bem Estar 338,AC,Campo Grande,UPA,59,58.8,25,61,27,5159,33.81,424318.19,424351.62,5.44,Estadual,2.5,25/05/2024
a9c0d685,Hospital Saúde 409,AC,Curitiba,Posto de Saúde,211,38.4,10,59,125,1486,66.17,908000.7,596355.14,2.33,Estadual,1.5,17/09/2024
4605250a,Hospital Bem Estar 293,AC,Florianópolis,Unidade Mista,168,82.7,129,57,124,5924,37.48,327717.09,127233.95,4.02,Estadual,4.2,26/08/2024
de6f9595,Hospital Esperança 381,AC,Aracaju,Hospital Especializado,349,61.0,143,83,43,4865,76.14,232399.23,73703.7,8.21,Estadual,4.6,28/12/2024
b620dae6,Hospital Esperança 928,AC,Recife,Hospital Geral,201,92.7,95,48,20,5003,11.39,183128.51,739210.45,10.5,Municipal,3.6,28/01/2025
0c195e59,Hospital Saúde 586,AC,Brasília,UPA,147,83.0,92,33,53,7944,178.15,870993.8,664489.58,4.58,Municipal,3.8,25/11/2024
569b99f5,Hospital Esperança 801,AC,Palmas,Posto de Saúde,253,72.1,90,6,23,9880,19.14,538285.19,360360.24,0.58,Municipal,4.1,29/07/2024
80461916,Hospital Bem Estar 732,AC,Curitiba,Unidade Mista,464,77.0,104,53,72,4789,22.31,870674.77,428555.55,3.86,Municipal,1.2,15/07/2024
39a84571,Hospital Esperança 918,AC,Brasília,Hospital Especializado,40,74.5,149,57,112,5205,45.03,211460.18,582476.58,9.83,Municipal,1.7,17/06/2024
0add051c,Hospital Vida 834,AC,Goiânia,Hospital Geral,337,49.8,107,42,61,2255,120.54,133593.65,592514.05,5.09,Federal,1.3,02/08/2024
0cc6ad87,Hospital Esperança 354,AC,Palmas,UPA,190,55.7,36,50,44,4663,159.28,804253.05,81515.94,1.52,Federal,4.7,08/05/2024
02a0f1e6,Hospital Bem Estar 310,AC,Palmas,Posto de Saúde,496,21.8,26,36,62,426,159.2,183257.06,850965.39,11.84,Federal,3.2,09/12/2024
c7a1d5e3,Hospital Saúde 24,AC,Porto Alegre,Unidade Mista,51,36.5,7,43,66,3576,162.18,413490.19,720025.73,9.89,Federal,1.6,19/04/2024
6932e540,Hospital Esperança 25,AC,Vitória,Hospital Especializado,461,70.5,38,37,92,3629,96.09,362402.05,886357.74,10.17,Federal,3.9,16/08/2024
c13c9f51,Hospital Bem Estar 873,AC,Recife,Hospital Geral,311,27.8,56,96,68,7165,134.93,279229.3,243511.05,13.27,Estadual,2.7,14/04/2024
e593e670,Hospital Saúde 139,AC,Cuiabá,UPA,130,84.4,99,71,116,9631,168.58,250997.98,661432.24,8.84,Estadual,4.8,22/02/2025
ccb306ce,Hospital Vida 400,AC,São Luís,Posto de Saúde,332,62.6,10,30,85,6164,175.56,132813.27,82443.43,13.34,Estadual,2.0,07/10/2024
f69914fe,Hospital Vida 973,AC,Recife,Unidade Mista,220,86.3,120,37,127,7214,98.0,486776.27,278257.82,1.13,Estadual,4.6,10/06/2024
ac236b5e,Hospital Vida 566,AC,Manaus,Hospital Especializado,341,99.9,145,55,20,8612,107.77,79351.14,883814.46,5.36,Estadual,2.3,13/04/2025
ba9b93fb,Hospital Esperança 735,AC,Macapá,Hospital Geral,305,60.5,140,15,7,4380,63.77,765197.0,356349.11,7.28,Municipal,2.5,09/10/2024
6bc30c69,Hospital Vida 567,AC,São Luís,UPA,121,97.6,24,92,77,731,150.02,223961.79,190060.75,9.93,Municipal,4.1,31/07/2024
2f604ffe,Hospital Saúde 6,AC,Aracaju,Posto de Saúde,158,46.3,123,28,121,7238,13.28,161101.92,710717.61,0.49,Municipal,3.7,14/05/2024
b0bbb3a1,Hospital Vida 353,AC,Natal,Unidade Mista,227,86.9,98,43,7,8131,165.38,651744.18,54753.84,14.68,Municipal,1.7,18/04/2024
be92c234,Hospital Esperança 142,AC,Rio de Janeiro,Hospital Especializado,495,58.0,103,97,86,7574,77.29,553288.24,536907.99,2.41,Municipal,2.8,08/03/2025
e2a40bdc,Hospital Saúde 606,AC,Boa Vista,Hospital Geral,429,42.9,84,12,141,9666,62.27,283480.46,217058.04,1.66,Federal,3.3,23/01/2025
144d9392,Hospital Vida 508,AC,Fortaleza,UPA,117,37.6,107,19,134,6616,99.43,577786.13,642289.04,1.35,Federal,3.2,17/11/2024
70f96ddc,Hospital Saúde 12,AC,Fortaleza,Posto de Saúde,43,87.9,115,98,145,2808,165.93,752635.53,545603.48,8.37,Federal,2.0,14/09/2024
c2e2c98a,Hospital Esperança 974,AC,Fortaleza,Unidade Mista,208,62.1,102,48,20,6979,88.18,671355.83,709629.78,7.39,Federal,1.4,14/12/2024
702a4761,Hospital Bem Estar 165,AC,Belém,Hospital Especializado,299,77.7,20,21,29,5329,122.2,919664.01,789421.49,11.36,Federal,3.2,06/11/2024
6fbcaa68,Hospital Bem Estar 899,AC,Porto Alegre,Hospital Geral,405,68.1,137,18,24,7611,20.3,489424.45,871024.77,5.15,Estadual,3.0,22/10/2024
9d7ce6b3,Hospital Esperança 77,AC,Rio de Janeiro,UPA,121,95.6,133,96,44,1725,171.11,299423.06,303208.14,3.84,Estadual,3.9,12/03/2025
7c4b131a,Hospital Bem Estar 292,AC,Cuiabá,Posto de Saúde,133,38.2,49,48,109,3357,29.68,513876.86,726953.05,2.17,Estadual,1.0,06/05/2024
e18e6b8f,Hospital Saúde 774,AC,Manaus,Unidade Mista,345,66.7,113,41,70,8290,118.54,254337.28,659166.31,4.15,Estadual,4.2,21/05/2024
be267a94,Hospital Vida 293,AC,Goiânia,Hospital Especializado,203,74.8,22,58,80,5131,53.94,903745.02,224001.85,13.62,Estadual,4.0,11/01/2025
d05bd764,Hospital Bem Estar 905,AC,João Pessoa,Hospital Geral,79,92.6,26,77,68,3588,95.55,594104.62,63749.97,2.52,Municipal,3.1,27/04/2024
5215970f,Hospital Bem Estar 129,AC,Maceió,UPA,98,51.8,9,71,127,968,163.12,530902.87,196009.94,13.16,Municipal,1.1,26/03/2025
e405f8bc,Hospital Esperança 519,AC,Curitiba,Posto de Saúde,240,51.5,80,15,69,2664,86.79,896911.21,73033.93,7.76,Municipal,1.4,13/09/2024
b84a20b0,Hospital Saúde 694,AC,Curitiba,Unidade Mista,415,46.0,83,23,63,3603,28.37,357088.39,122890.93,7.46,Municipal,3.1,11/10/2024
2946d934,Hospital Vida 335,AC,Vitória,Hospital Especializado,276,79.8,35,55,148,6536,26.57,256286.26,319117.23,11.24,Municipal,4.0,12/02/2025
de0d0d9f,Hospital Vida 667,AC,Manaus,Hospital Geral,117,51.4,40,58,38,5895,121.18,104439.35,690784.0,8.23,Federal,2.1,02/11/2024
f69ed08e,Hospital Vida 770,AC,São Luís,UPA,231,68.1,117,49,144,5671,11.42,272700.31,456634.79,2.65,Federal,4.2,19/03/2025
9ab44866,Hospital Bem Estar 748,AC,Rio de Janeiro,Posto de Saúde,425,66.3,2,7,150,7223,163.26,256997.6,518561.0,6.74,Federal,2.7,07/12/2024
f059df4c,Hospital Bem Estar 106,AC,Porto Velho,Unidade Mista,245,49.2,148,50,7,2000,109.34,374720.11,265641.21,10.37,Federal,3.9,05/10/2024
bb5f3e45,Hospital Bem Estar 908,AC,São Luís,Hospital Especializado,306,33.2,120,47,5,1436,145.19,838258.6,502425.33,12.15,Federal,2.1,18/04/2024
f296a4f8,Hospital Saúde 90,AC,São Paulo,Hospital Geral,492,27.2,127,30,122,1496,97.8,246552.07,693508.26,6.7,Estadual,3.1,02/05/2024
db5bd16e,Hospital Saúde 528,AC,Manaus,UPA,11,45.2,132,17,121,4907,168.35,153183.87,24841.44,3.23,Estadual,3.9,06/09/2024
d3bf9fc4,Hospital Bem Estar 206,AC,São Luís,Posto de Saúde,221,23.6,148,92,35,7795,65.25,449534.79,359934.81,12.79,Estadual,4.1,06/01/2025
7b40791b,Hospital Saúde 131,AC,Rio Branco,Unidade Mista,102,70.7,71,56,24,5162,115.84,112409.9,141644.19,5.78,Estadual,1.3,10/01/2025
2536c07c,Hospital Saúde 142,AC,São Luís,Hospital Especializado,229,75.9,80,81,97,4900,154.22,648771.45,134592.06,5.91,Estadual,3.6,22/01/2025
67dd5fbd,Hospital Vida 773,AC,Cuiabá,Hospital Geral,119,80.8,67,25,106,6066,114.74,294951.59,455149.97,2.03,Municipal,4.3,09/03/2025
65076299,Hospital Esperança 477,AC,Palmas,UPA,237,93.9,124,12,59,9752,172.38,739995.74,515382.1,7.18,Municipal,1.2,09/06/2024
1bba1b11,Hospital Saúde 840,AC,Brasília,Posto de Saúde,445,49.7,79,13,90,1778,179.97,539840.25,44770.35,11.45,Municipal,2.9,16/10/2024
c86db5e9,Hospital Esperança 366,AC,Natal,Unidade Mista,386,21.6,62,57,85,4603,79.69,901149.89,329444.62,4.92,Municipal,2.2,02/07/2024
6a942405,Hospital Esperança 403,AC,Recife,Hospital Especializado,101,73.0,43,53,23,671,65.17,698216.14,211009.25,13.91,Municipal,2.4,26/09/2024
05e3e545,Hospital Vida 944,AC,Goiânia,Hospital Geral,360,51.8,15,22,85,7990,122.96,813176.47,180649.7,1.73,Federal,3.9,21/04/2024
a2c6e8a5,Hospital Esperança 539,AC,Fortaleza,UPA,333,54.8,40,73,117,7761,93.48,370326.16,852705.59,10.61,Federal,2.1,28/10/2024
71a4d416,Hospital Saúde 384,AC,Porto Alegre,Posto de Saúde,89,88.1,37,99,122,7281,68.42,504353.68,484325.92,3.46,Federal,2.6,03/04/2025
15b2ec44,Hospital Vida 977,AC,Teresina,Unidade Mista,220,31.1,127,23,59,7518,51.76,883060.0,615151.81,1.81,Federal,5.0,18/07/2024
5a66151f,Hospital Saúde 986,AC,Recife,Hospital Especializado,314,33.4,5,10,74,9509,163.07,543815.97,103712.71,2.22,Federal,1.2,21/10/2024
5d8e3bc3,Hospital Bem Estar 840,AC,Curitiba,Hospital Geral,468,80.5,89,74,108,9794,128.95,501532.96,311778.61,12.29,Estadual,1.6,01/11/2024
a1a10ccf,Hospital Saúde 854,AC,Boa Vista,UPA,389,60.3,131,20,41,593,127.26,608016.12,295380.62,1.98,Estadual,1.7,06/10/2024
5d759e0f,Hospital Vida 218,AC,Teresina,Posto de Saúde,426,59.5,55,28,12,4661,14.51,936877.21,709075.03,8.08,Estadual,3.3,11/09/2024
79da837d,Hospital Esperança 848,AC,Rio Branco,Unidade Mista,38,89.6,118,49,112,6908,150.02,378277.63,582295.5,5.57,Estadual,3.7,01/03/2025
860a434e,Hospital Esperança 569,AC,Belém,Hospital Especializado,92,65.8,73,12,45,8080,118.52,137753.57,538343.78,5.53,Estadual,4.9,31/08/2024
b69915b5,Hospital Vida 415,AC,Fortaleza,Hospital Geral,220,30.2,10,56,104,7479,124.15,548935.41,350613.53,14.69,Municipal,1.0,02/11/2024
99a35181,Hospital Bem Estar 27,AC,Rio Branco,UPA,337,70.6,144,73,147,5744,144.72,491168.8,631137.88,0.6,Municipal,2.6,23/08/2024
b2f9c852,Hospital Vida 893,AC,Belém,Posto de Saúde,14,48.1,31,53,137,6676,165.4,793203.79,665478.73,13.79,Municipal,3.2,09/06/2024
c5c9b5f9,Hospital Saúde 192,AC,Belo Horizonte,Unidade Mista,116,62.6,128,98,124,651,74.88,93144.67,318743.57,13.45,Municipal,4.2,25/12/2024
403bccbc,Hospital Saúde 509,AC,Porto Velho,Hospital Especializado,389,81.8,54,80,97,7489,128.11,730482.91,805866.23,14.6,Municipal,4.8,26/01/2025
2b227227,Hospital Bem Estar 959,AC,Boa Vista,Hospital Geral,107,87.6,56,84,80,1537,64.55,946294.06,681210.3,14.52,Federal,3.0,21/06/2024
6166dda6,Hospital Esperança 185,AC,Curitiba,UPA,44,50.5,62,29,78,5500,53.67,661394.47,387385.28,9.8,Federal,4.5,28/08/2024
b4cc4a26,Hospital Vida 867,AC,Brasília,Posto de Saúde,266,45.1,116,21,148,5137,102.29,901854.7,225543.8,9.84,Federal,1.2,26/06/2024
937cc93e,Hospital Vida 936,AC,Teresina,Unidade Mista,32,56.6,65,59,68,1339,70.83,709297.38,221674.63,6.46,Federal,4.8,15/04/2024
2d005b3f,Hospital Esperança 754,AC,Campo Grande,Hospital Especializado,200,34.5,22,18,55,8914,17.41,419174.81,435724.76,14.04,Federal,2.1,04/11/2024
